[2026-08-11 20:54:54] WARNING: CPU = 73.2 (warn=70, crit=80)
[2026-08-11 20:55:10] CRITICAL: CPU = 92.0 (warn=70, crit=80)
[2026-08-11 20:56:36] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 20:56:45] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 20:56:54] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 20:57:03] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 20:57:12] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 20:57:22] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:02:26] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:02:34] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:03:07] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:03:15] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:03:24] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:03:32] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:03:41] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:03:49] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:03:57] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:05:04] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:05:13] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:05:21] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:05:30] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:05:39] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:05:55] CRITICAL: DISK = 90 (warn=75, crit=85)
[2026-08-11 21:06:03] CRITICAL: DISK = 90 (warn=75, crit=85)
[2026-08-11 21:06:38] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:06:47] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:06:47] WARNING: LOAD = 3.16 (warn=3, crit=5)
[2026-08-11 21:06:57] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:06:57] WARNING: LOAD = 3.63 (warn=3, crit=5)
[2026-08-11 21:07:07] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:07:07] WARNING: LOAD = 4.61 (warn=3, crit=5)
[2026-08-11 21:07:17] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:07:17] CRITICAL: LOAD = 5.27 (warn=3, crit=5)
[2026-08-11 21:07:26] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:07:26] CRITICAL: LOAD = 5.84 (warn=3, crit=5)
[2026-08-11 21:07:36] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:07:36] CRITICAL: LOAD = 6.25 (warn=3, crit=5)
[2026-08-11 21:07:46] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:07:46] CRITICAL: LOAD = 6.75 (warn=3, crit=5)
[2026-08-11 21:07:56] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:07:56] CRITICAL: LOAD = 7.26 (warn=3, crit=5)
[2026-08-11 21:08:05] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:08:05] CRITICAL: LOAD = 7.68 (warn=3, crit=5)
[2026-08-11 21:08:15] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:08:15] CRITICAL: LOAD = 7.81 (warn=3, crit=5)
[2026-08-11 21:08:25] CRITICAL: CPU = 100.0 (warn=70, crit=80)
[2026-08-11 21:08:25] CRITICAL: LOAD = 7.84 (warn=3, crit=5)
[2026-08-11 21:08:34] CRITICAL: LOAD = 7.30 (warn=3, crit=5)
[2026-08-11 21:08:42] CRITICAL: LOAD = 6.71 (warn=3, crit=5)
[2026-08-11 21:08:50] CRITICAL: LOAD = 5.68 (warn=3, crit=5)
[2026-08-11 21:08:58] WARNING: LOAD = 4.97 (warn=3, crit=5)
[2026-08-11 21:09:07] WARNING: LOAD = 4.57 (warn=3, crit=5)
[2026-08-11 21:09:15] WARNING: LOAD = 3.87 (warn=3, crit=5)
[2026-08-11 21:09:23] WARNING: LOAD = 3.27 (warn=3, crit=5)
[2026-08-11 21:09:31] WARNING: LOAD = 3.01 (warn=3, crit=5)
